oktmo,name,year,naturesecure
01705000,город Бийск,2017,259164.0
01705000,город Бийск,2018,303774.0
01705000,город Бийск,2019,398268.0
01705000,город Бийск,2020,387377.0
01705000,город Бийск,2021,347867.0
01705000,город Бийск,2022,483047.0
01706000,город Заринск,2008,296448.9
01706000,город Заринск,2009,210481.6
01706000,город Заринск,2010,238722.2
01706000,город Заринск,2011,339360.1
01706000,город Заринск,2012,190669.0
01706000,город Заринск,2013,223335.0
01706000,город Заринск,2014,119905.0
01706000,город Заринск,2015,125435.0
01706000,город Заринск,2016,148998.0
01706000,город Заринск,2017,145273.0
01706000,город Заринск,2018,143034.0
01706000,город Заринск,2019,181953.0
01706000,город Заринск,2020,196885.0
01706000,город Заринск,2021,296337.0
01706000,город Заринск,2022,325333.0
01707000,город Змеиногорск,2008,40.6
01710000,город Камень-на-Оби,2008,24293.1
01710000,город Камень-на-Оби,2009,27877.3
01710000,город Камень-на-Оби,2010,28250.9
01710000,город Камень-на-Оби,2011,27846.7
01710000,город Камень-на-Оби,2012,28370.0
01710000,город Камень-на-Оби,2013,33923.0
01710000,город Камень-на-Оби,2014,35070.0
01710000,город Камень-на-Оби,2015,42052.0
01713000,город Новоалтайск,2008,44789.5
01713000,город Новоалтайск,2009,43312.9
01713000,город Новоалтайск,2010,57239.1
01713000,город Новоалтайск,2011,66715.7
01713000,город Новоалтайск,2012,55168.0
01713000,город Новоалтайск,2013,46919.0
01713000,город Новоалтайск,2014,52840.0
01713000,город Новоалтайск,2015,61066.0
01713000,город Новоалтайск,2016,68361.0
01713000,город Новоалтайск,2017,78603.0
01713000,город Новоалтайск,2018,78925.0
01713000,город Новоалтайск,2019,76382.0
01713000,город Новоалтайск,2020,58303.0
01713000,город Новоалтайск,2021,66530.0
01713000,город Новоалтайск,2022,65033.0
01716000,город Рубцовск,2008,113420.4
01716000,город Рубцовск,2009,122789.0
01716000,город Рубцовск,2010,138434.4
01716000,город Рубцовск,2011,151925.8
01716000,город Рубцовск,2012,147644.0
01716000,город Рубцовск,2013,147021.0
01716000,город Рубцовск,2014,150993.0
01716000,город Рубцовск,2015,198167.0
01716000,город Рубцовск,2016,170533.0
01716000,город Рубцовск,2017,187220.0
01716000,город Рубцовск,2018,224384.0
01716000,город Рубцовск,2019,237605.0
01716000,город Рубцовск,2020,263739.0
01716000,город Рубцовск,2021,295272.0
01716000,город Рубцовск,2022,315943.0
01719000,город Славгород,2008,4667.9
01719000,город Славгород,2009,3003.3
01719000,город Славгород,2010,6455.7
01719000,город Славгород,2011,7285.1
01719000,город Славгород,2012,8522.0
01719000,город Славгород,2013,3221.0
01719000,город Славгород,2014,3434.0
01719000,город Славгород,2015,3918.0
01719000,город Славгород,2016,16265.0
01719000,город Славгород,2017,17339.0
01719000,город Славгород,2018,11786.0
01719000,город Славгород,2019,14604.0
01719000,город Славгород,2020,11509.0
01719000,город Славгород,2021,23001.0
01719000,город Славгород,2022,9097.0
01730000,город Яровое,2008,18441.0
01730000,город Яровое,2009,18449.4
01730000,город Яровое,2010,24590.8
01730000,город Яровое,2011,21765.7
01730000,город Яровое,2012,22949.0
01730000,город Яровое,2013,19001.0
01730000,город Яровое,2014,20137.0
