oktmo,name,year,consnewapt
oktmo,municipality,year,indicator_value
03647000,Староминский муниципальный район,2011,5.3
03649000,Тбилисский муниципальный район,2008,2.2
03649000,Тбилисский муниципальный район,2009,1.9
03649000,Тбилисский муниципальный район,2010,1.4
03649000,Тбилисский муниципальный район,2011,1.6
03651000,Темрюкский муниципальный район,2008,3.4
03651000,Темрюкский муниципальный район,2009,2.8
03651000,Темрюкский муниципальный район,2010,3.0
03651000,Темрюкский муниципальный район,2011,2.2
03653000,Тимашевский муниципальный район,2008,4.1
03653000,Тимашевский муниципальный район,2009,3.8
03653000,Тимашевский муниципальный район,2010,3.5
03653000,Тимашевский муниципальный район,2011,3.6
03654000,Тихорецкий муниципальный район,2008,7.2
03654000,Тихорецкий муниципальный район,2009,5.2
03654000,Тихорецкий муниципальный район,2010,10.0
03654000,Тихорецкий муниципальный район,2011,8.3
03655000,Туапсинский муниципальный район,2008,6.4
03655000,Туапсинский муниципальный район,2009,4.3
03655000,Туапсинский муниципальный район,2010,7.1
03655000,Туапсинский муниципальный район,2011,5.1
03656000,Успенский муниципальный район,2008,4.3
03656000,Успенский муниципальный район,2009,2.5
03656000,Успенский муниципальный район,2010,2.3
03656000,Успенский муниципальный район,2011,3.3
03657000,Усть-Лабинский муниципальный район,2008,3.0
03657000,Усть-Лабинский муниципальный район,2009,4.2
03657000,Усть-Лабинский муниципальный район,2010,2.8
03657000,Усть-Лабинский муниципальный район,2011,2.5
03659000,Щербиновский муниципальный район,2008,1.8
03659000,Щербиновский муниципальный район,2009,3.8
03659000,Щербиновский муниципальный район,2010,2.6
03659000,Щербиновский муниципальный район,2011,2.4
03701000,город Краснодар,2008,16.4
03701000,город Краснодар,2009,11.8
03701000,город Краснодар,2010,16.3
03701000,город Краснодар,2011,16.5
03703000,город-курорт Анапа,2008,7.8
03703000,город-курорт Анапа,2009,8.4
03703000,город-курорт Анапа,2010,11.7
03703000,город-курорт Анапа,2011,18.4
03705000,город Армавир,2008,3.8
03705000,город Армавир,2009,4.8
03705000,город Армавир,2010,4.3
03705000,город Армавир,2011,5.6
03708000,город-курорт Геленджик,2008,10.3
03708000,город-курорт Геленджик,2009,9.6
03708000,город-курорт Геленджик,2010,12.3
03708000,город-курорт Геленджик,2011,14.6
03709000,город Горячий Ключ,2008,11.0
03709000,город Горячий Ключ,2009,9.3
03709000,город Горячий Ключ,2010,8.2
03709000,город Горячий Ключ,2011,8.0
03720000,город Новороссийск,2008,6.4
03720000,город Новороссийск,2009,5.3
03720000,город Новороссийск,2010,5.2
03720000,город Новороссийск,2011,7.1
03726000,город-курорт Сочи,2008,5.5
03726000,город-курорт Сочи,2009,5.1
03726000,город-курорт Сочи,2010,8.2
03726000,город-курорт Сочи,2011,9.2
04601000,Абанский муниципальный район,2008,1.0
04601000,Абанский муниципальный район,2009,1.0
04601000,Абанский муниципальный район,2010,1.0
04601000,Абанский муниципальный район,2011,1.0
04603000,Ачинский муниципальный район,2008,4.0
04603000,Ачинский муниципальный район,2009,3.0
04603000,Ачинский муниципальный район,2010,3.0
04603000,Ачинский муниципальный район,2011,5.0
04604000,Балахтинский муниципальный район,2008,1.0
04604000,Балахтинский муниципальный район,2009,1.0
04604000,Балахтинский муниципальный район,2010,1.0
04604000,Балахтинский муниципальный район,2011,2.0
04605000,Березовский муниципальный район,2008,4.0
04605000,Березовский муниципальный район,2009,5.0
04605000,Березовский муниципальный район,2010,4.0
04605000,Березовский муниципальный район,2011,2.0
