oktmo,name,year,retailturnover
3607000,Белоглинский муниципальный район,2010,209024.9
3607000,Белоглинский муниципальный район,2011,216880.8
3607000,Белоглинский муниципальный район,2012,211418.5
3607000,Белоглинский муниципальный район,2013,267588.2
3607000,Белоглинский муниципальный район,2014,260046.4
3607000,Белоглинский муниципальный район,2015,320259.8
3607000,Белоглинский муниципальный район,2016,425807.7
3608000,Белореченский муниципальный район,2010,1349743.4
3608000,Белореченский муниципальный район,2011,1878549.7
3608000,Белореченский муниципальный район,2012,2197011.0
3608000,Белореченский муниципальный район,2013,1972971.6
3608000,Белореченский муниципальный район,2014,2649961.8
3608000,Белореченский муниципальный район,2015,2715207.5
3608000,Белореченский муниципальный район,2016,2933688.9
3610000,Брюховецкий муниципальный район,2010,330904.0
3610000,Брюховецкий муниципальный район,2011,281076.7
3610000,Брюховецкий муниципальный район,2012,317232.8
3610000,Брюховецкий муниципальный район,2013,366476.5
3610000,Брюховецкий муниципальный район,2014,440630.0
3610000,Брюховецкий муниципальный район,2015,619498.0
3610000,Брюховецкий муниципальный район,2016,807909.0
3612000,Выселковский муниципальный район,2010,265228.0
3612000,Выселковский муниципальный район,2011,276518.2
3612000,Выселковский муниципальный район,2012,318215.8
3612000,Выселковский муниципальный район,2013,333501.1
3612000,Выселковский муниципальный район,2014,381022.2
3612000,Выселковский муниципальный район,2015,520139.2
3612000,Выселковский муниципальный район,2016,676622.0
3613000,Гулькевичский муниципальный район,2010,621016.8
3613000,Гулькевичский муниципальный район,2011,617642.5
3613000,Гулькевичский муниципальный район,2012,747241.7
3613000,Гулькевичский муниципальный район,2013,772394.0
3613000,Гулькевичский муниципальный район,2014,791818.9
3613000,Гулькевичский муниципальный район,2015,811743.0
3613000,Гулькевичский муниципальный район,2016,886217.4
3614000,Динской муниципальный район,2010,754902.5
3614000,Динской муниципальный район,2011,794436.5
3614000,Динской муниципальный район,2012,935054.0
3614000,Динской муниципальный район,2013,1085738.0
3614000,Динской муниципальный район,2014,1316696.0
3614000,Динской муниципальный район,2015,1734217.0
3614000,Динской муниципальный район,2016,2358333.8
3616000,Ейский муниципальный район,2010,1780886.2
3616000,Ейский муниципальный район,2011,2055452.4
3616000,Ейский муниципальный район,2012,2418303.7
3616000,Ейский муниципальный район,2013,2655025.1
3616000,Ейский муниципальный район,2014,3402195.0
3616000,Ейский муниципальный район,2015,3958894.9
3616000,Ейский муниципальный район,2016,4210553.4
3618000,Кавказский муниципальный район,2010,1286115.4
3618000,Кавказский муниципальный район,2011,1784934.9
3618000,Кавказский муниципальный район,2012,2234733.3
3618000,Кавказский муниципальный район,2013,2637683.5
3618000,Кавказский муниципальный район,2014,2830909.3
3618000,Кавказский муниципальный район,2015,2747464.4
3618000,Кавказский муниципальный район,2016,3031748.7
3619000,Калининский муниципальный район,2010,242353.1
3619000,Калининский муниципальный район,2011,241947.2
3619000,Калининский муниципальный район,2012,275058.8
3619000,Калининский муниципальный район,2013,346389.9
3619000,Калининский муниципальный район,2014,379532.0
3619000,Калининский муниципальный район,2015,390939.0
3619000,Калининский муниципальный район,2016,498708.0
