oktmo,name,year,parks
3641000,Приморско-Ахтарский муниципальный район,2016,1.0
3641000,Приморско-Ахтарский муниципальный район,2017,1.0
3641101,Приморско-Ахтарское,2007,1.0
3641101,Приморско-Ахтарское,2008,1.0
3641101,Приморско-Ахтарское,2009,1.0
3641101,Приморско-Ахтарское,2010,1.0
3641101,Приморско-Ахтарское,2011,1.0
3641101,Приморско-Ахтарское,2012,1.0
3641101,Приморско-Ахтарское,2013,1.0
3641101,Приморско-Ахтарское,2014,1.0
3641101,Приморско-Ахтарское,2015,1.0
3641101,Приморско-Ахтарское,2016,1.0
3641101,Приморско-Ахтарское,2017,1.0
3641404,Бриньковское,2007,2.0
3643000,Северский муниципальный район,2007,1.0
3643000,Северский муниципальный район,2008,1.0
3643000,Северский муниципальный район,2009,1.0
3643000,Северский муниципальный район,2010,1.0
3643000,Северский муниципальный район,2011,1.0
3643000,Северский муниципальный район,2012,1.0
3643000,Северский муниципальный район,2013,1.0
3643000,Северский муниципальный район,2014,1.0
3643000,Северский муниципальный район,2015,1.0
3643000,Северский муниципальный район,2016,1.0
3643000,Северский муниципальный район,2017,1.0
3643413,Северское,2007,1.0
3643413,Северское,2008,1.0
3643413,Северское,2009,1.0
3643413,Северское,2010,1.0
3643413,Северское,2011,1.0
3643413,Северское,2012,1.0
3643413,Северское,2013,1.0
3643413,Северское,2014,1.0
3643413,Северское,2015,1.0
3643413,Северское,2016,1.0
3643413,Северское,2017,1.0
3647000,Староминский муниципальный район,2007,1.0
3647000,Староминский муниципальный район,2008,1.0
3647000,Староминский муниципальный район,2009,1.0
3647000,Староминский муниципальный район,2010,1.0
3647000,Староминский муниципальный район,2011,1.0
3647000,Староминский муниципальный район,2012,1.0
3647000,Староминский муниципальный район,2013,1.0
3647000,Староминский муниципальный район,2014,1.0
3647000,Староминский муниципальный район,2015,1.0
3647000,Староминский муниципальный район,2016,1.0
3647000,Староминский муниципальный район,2017,1.0
3647413,Староминское,2007,1.0
3647413,Староминское,2008,1.0
3647413,Староминское,2009,1.0
3647413,Староминское,2010,1.0
3647413,Староминское,2011,1.0
3647413,Староминское,2012,1.0
3647413,Староминское,2013,1.0
3647413,Староминское,2014,1.0
3647413,Староминское,2015,1.0
3647413,Староминское,2016,1.0
3647413,Староминское,2017,1.0
3649000,Тбилисский муниципальный район,2007,4.0
3649000,Тбилисский муниципальный район,2008,4.0
3649000,Тбилисский муниципальный район,2009,4.0
3649000,Тбилисский муниципальный район,2010,4.0
3649000,Тбилисский муниципальный район,2011,4.0
3649000,Тбилисский муниципальный район,2012,4.0
3649000,Тбилисский муниципальный район,2013,4.0
3649000,Тбилисский муниципальный район,2014,4.0
3649000,Тбилисский муниципальный район,2015,3.0
3649404,Геймановское,2007,1.0
3649404,Геймановское,2008,1.0
3649404,Геймановское,2009,1.0
3649404,Геймановское,2010,1.0
3649404,Геймановское,2011,1.0
3649404,Геймановское,2012,1.0
3649404,Геймановское,2013,1.0
3649404,Геймановское,2014,1.0
3649413,Нововладимировское,2007,1.0
3649413,Нововладимировское,2008,1.0
3649413,Нововладимировское,2009,1.0
3649413,Нововладимировское,2010,1.0
3649413,Нововладимировское,2011,1.0
3649413,Нововладимировское,2012,1.0
3649413,Нововладимировское,2013,1.0
3649413,Нововладимировское,2014,1.0
3649413,Нововладимировское,2015,1.0
3649419,Тбилисское,2007,2.0
3649419,Тбилисское,2008,2.0
3649419,Тбилисское,2009,2.0
3649419,Тбилисское,2010,2.0
3649419,Тбилисское,2011,2.0
3649419,Тбилисское,2012,2.0
3649419,Тбилисское,2013,2.0
3649419,Тбилисское,2014,2.0
3649419,Тбилисское,2015,2.0
3651000,Темрюкский муниципальный район,2007,1.0
