oktmo,name,year,cliniccap
1618434,Косихинский сельсовет,2010,195.0
1618434,Косихинский сельсовет,2011,210.0
1618434,Косихинский сельсовет,2012,245.0
1618434,Косихинский сельсовет,2013,245.0
1618440,Лосихинский сельсовет,2008,35.0
1618440,Лосихинский сельсовет,2009,35.0
1618440,Лосихинский сельсовет,2010,35.0
1618440,Лосихинский сельсовет,2011,20.0
1618440,Лосихинский сельсовет,2012,25.0
1618440,Лосихинский сельсовет,2013,25.0
1618460,Налобихинский сельсовет,2008,60.0
1618460,Налобихинский сельсовет,2009,60.0
1618460,Налобихинский сельсовет,2010,60.0
1618460,Налобихинский сельсовет,2011,65.0
1618460,Налобихинский сельсовет,2012,65.0
1618460,Налобихинский сельсовет,2013,65.0
1619000,Красногорский муниципальный район,2008,309.0
1619000,Красногорский муниципальный район,2009,309.0
1619000,Красногорский муниципальный район,2010,309.0
1619000,Красногорский муниципальный район,2011,309.0
1619000,Красногорский муниципальный район,2012,323.0
1619000,Красногорский муниципальный район,2013,323.0
1619407,Быстрянский сельсовет,2008,25.0
1619407,Быстрянский сельсовет,2009,28.0
1619407,Быстрянский сельсовет,2010,26.0
1619407,Быстрянский сельсовет,2011,23.0
1619407,Быстрянский сельсовет,2012,23.0
