oktmo,name,year,outflow
03651000,Темрюкский муниципальный район,2019,459.0
03651101,Темрюкское,2019,158.0
03651402,Ахтанизовское,2019,18.0
03651404,Вышестеблиевское,2019,20.0
03651407,Голубицкое,2019,27.0
03651410,Запорожское,2019,40.0
03651413,Краснострельское,2019,35.0
03651416,Курчанское,2019,31.0
03651418,Новотаманское,2019,13.0
03651419,Сенное,2019,24.0
03651422,Старотитаровское,2019,44.0
03651425,Таманское,2019,37.0
03651430,Фонталовское,2019,12.0
03653000,Тимашевский муниципальный район,2019,229.0
03653101,Тимашевское,2019,143.0
03653402,Дербентское,2019,8.0
03653404,Днепровское,2019,11.0
03653413,Медведовское,2019,25.0
03653416,Незаймановское,2019,3.0
03653419,Новокорсунское,2019,6.0
03653422,Новоленинское,2019,7.0
03653425,Поселковое,2019,6.0
03653428,Роговское,2019,20.0
03654000,Тихорецкий муниципальный район,2019,124.0
03654101,Тихорецкое,2019,69.0
03654402,Алексеевское,2019,9.0
03654404,Архангельское,2019,7.0
03654405,Братское,2019,5.0
03654407,Еремизино-Борисовское,2019,3.0
03654408,Крутое,2019,5.0
03654410,Новорождественское,2019,9.0
03654413,Отрадненское,2019,1.0
03654416,Парковское,2019,1.0
03654419,Терновское,2019,5.0
03654422,Фастовецкое,2019,9.0
03654425,Хоперское,2019,4.0
03654435,Юго-Северное,2019,2.0
03655000,Туапсинский муниципальный район,2019,52.0
03655101,Туапсинское,2019,16.0
03655154,Джубгское,2019,6.0
03655158,Новомихайловское,2019,9.0
03655402,Небугское,2019,4.0
03655404,Вельяминовское,2019,3.0
03655407,Георгиевское,2019,1.0
03655410,Октябрьское,2019,3.0
03655412,Тенгинское,2019,5.0
03655413,Шаумянское,2019,1.0
03655415,Шепсинское,2019,4.0
03656000,Успенский муниципальный район,2019,7.0
03656404,Вольненское,2019,3.0
03656410,Коноковское,2019,2.0
03656416,Маламинское,2019,1.0
03656419,Николаевское,2019,1.0
03657000,Усть-Лабинский муниципальный район,2019,69.0
03657101,Усть-Лабинское,2019,29.0
03657402,Александровское,2019,2.0
03657404,Братское,2019,3.0
03657405,Вимовское,2019,2.0
03657407,Воронежское,2019,3.0
03657412,Двубратское,2019,2.0
03657413,Железное,2019,2.0
03657416,Кирпильское,2019,5.0
03657419,Ладожское,2019,11.0
03657422,Ленинское,2019,1.0
03657425,Некрасовское,2019,5.0
03657433,Тенгинское,2019,4.0
03659000,Щербиновский муниципальный район,2019,45.0
03659402,Глафировское,2019,1.0
03659407,Екатериновское,2019,1.0
03659409,Николаевское,2019,1.0
