oktmo,name,year,theatres
07644420,посёлок Щелкан,2016,0.0
07646101,город Светлоград,2016,0.0
07646402,село Благодатное,2016,0.0
07646404,Высоцкий сельсовет,2016,0.0
07646407,село Гофицкое,2016,0.0
07646410,Дон-Балковский сельсовет,2016,0.0
07646413,Константиновский сельсовет,2016,0.0
07646416,село Николина Балка,2016,0.0
07646417,Прикалаусский сельсовет,2016,0.0
07646418,Просянский сельсовет,2016,0.0
07646419,Рогато-Балковский сельсовет,2016,0.0
07646422,село Сухая Буйвола,2016,0.0
07646425,Шангалинский сельсовет,2016,0.0
07646428,село Шведино,2016,0.0
07648402,станица Бекешевская,2016,0.0
07648407,станица Боргустанская,2016,0.0
07648410,Винсадский сельсовет,2016,0.0
07648413,Ессентукский сельсовет,2016,0.0
07648415,посёлок Мирный,2016,0.0
07648416,Нежинский сельсовет,2016,0.0
07648422,Новоблагодарненский сельсовет,2016,0.0
07648424,Подкумский сельсовет,2016,0.0
07648425,Пригородный сельсовет,2016,0.0
07648428,Пятигорский сельсовет,2016,0.0
07648431,Суворовский сельсовет,2016,0.0
07648432,Тельмановский сельсовет,2016,0.0
07648434,Этокский сельсовет,2016,0.0
07648437,Юцкий сельсовет,2016,0.0
07648440,Яснополянский сельсовет,2016,0.0
07650101,город Зеленокумск,2014,0.0
07650101,город Зеленокумск,2016,0.0
07650402,Восточный сельсовет,2016,0.0
07650404,село Горькая Балка,2016,0.0
07650407,Нинский сельсовет,2016,0.0
07650410,село Отказное,2016,0.0
07650413,Правокумский сельсовет,2016,0.0
07650416,Солдато-Александровский сельсовет,2016,0.0
07652402,Богдановский сельсовет,2016,0.0
07652404,Варениковский сельсовет,2016,0.0
07652404,Варениковский сельсовет,2017,0.0
07652407,Верхнестепновский сельсовет,2016,0.0
07652410,Иргаклинский сельсовет,2016,0.0
07652410,Иргаклинский сельсовет,2017,0.0
07652415,Ольгинский сельсовет,2016,0.0
07652420,село Соломенское,2016,0.0
07652420,село Соломенское,2017,0.0
07652426,Степновский сельсовет,2016,0.0
07652426,Степновский сельсовет,2017,0.0
07654402,Безопасненский сельсовет,2016,0.0
07654402,Безопасненский сельсовет,2017,0.0
07654404,Донской сельсовет,2016,0.0
07654404,Донской сельсовет,2017,0.0
07654407,Кировский сельсовет,2014,0.0
07654407,Кировский сельсовет,2016,0.0
07654410,село Новая Кугульта,2016,0.0
07654413,село Подлесное,2016,0.0
07654416,Труновский сельсовет,2014,0.0
07654416,Труновский сельсовет,2016,0.0
07656401,Владимировский сельсовет,2016,0.0
07656401,Владимировский сельсовет,2017,0.0
07656402,село Казгулак,2016,0.0
07656402,село Казгулак,2017,0.0
07656404,село Камбулат,2016,0.0
07656404,село Камбулат,2017,0.0
07656407,Кендже-Кулакский сельсовет,2016,0.0
07656407,Кендже-Кулакский сельсовет,2017,0.0
07656410,Красноманычский сельсовет,2016,0.0
07656410,Красноманычский сельсовет,2017,0.0
07656413,Куликово-Копанский сельсовет,2016,0.0
07656413,Куликово-Копанский сельсовет,2017,0.0
07656416,Кучерлинский сельсовет,2016,0.0
07656419,Летнеставочный сельсовет,2016,0.0
07656419,Летнеставочный сельсовет,2017,0.0
07656422,село Малые Ягуры,2016,0.0
07656422,село Малые Ягуры,2017,0.0
07656424,Новокучерлинский сельсовет,2016,0.0
07656424,Новокучерлинский сельсовет,2017,0.0
07656426,Овощинский сельсовет,2016,0.0
07656426,Овощинский сельсовет,2017,0.0
07658101,город Михайловск,2016,0.0
07658101,город Михайловск,2017,0.0
07658402,Верхнерусский сельсовет,2016,0.0
07658402,Верхнерусский сельсовет,2017,0.0
07658404,Дёминский сельсовет,2016,0.0
07658404,Дёминский сельсовет,2017,0.0
07658406,Дубовский сельсовет,2016,0.0
07658406,Дубовский сельсовет,2017,0.0
07658408,Казинский сельсовет,2016,0.0
07658408,Казинский сельсовет,2017,0.0
07658410,Надеждинский сельсовет,2016,0.0
07658410,Надеждинский сельсовет,2017,0.0
07658413,станица Новомарьевская,2016,0.0
07658416,Пелагиадский сельсовет,2016,0.0
07658416,Пелагиадский сельсовет,2017,0.0
07658419,Сенгилеевский сельсовет,2016,0.0
07658419,Сенгилеевский сельсовет,2017,0.0
07658422,Татарский сельсовет,2016,0.0
07658422,Татарский сельсовет,2017,0.0
07658425,Темнолесский сельсовет,2016,0.0
07658428,Цимлянский сельсовет,2016,0.0
07701000,город Ставрополь,2007,2.0
07701000,город Ставрополь,2008,2.0
07701000,город Ставрополь,2009,2.0
07701000,город Ставрополь,2010,2.0
07701000,город Ставрополь,2011,2.0
07701000,город Ставрополь,2012,2.0
07701000,город Ставрополь,2013,2.0
